# P90_CSV_VERSION=1.0
EndOfPeriodUTC (dd/mm/yyyy HH:mm),SolarAzimuth (degrees),SolarZenith (degrees),AmbientTemp (celsius),DHI (W/m2),GHI (W/m2),DNI (W/m2),WS (m/s),Tilt (degrees)
31/12/1989 14:00,0.0,0.0,19.390008544921898,0.0,0.0,0.0,11.789999961853027,0.0
31/12/1989 15:00,0.0,0.0,18.929986572265648,0.0,0.0,0.0,11.789999961853027,0.0
31/12/1989 16:00,0.0,0.0,18.129998779296898,0.0,0.0,0.0,12.920000076293945,0.0
31/12/1989 17:00,0.0,0.0,18.559991455078148,0.0,0.0,0.0,12.350000381469727,0.0
31/12/1989 18:00,0.0,0.0,18.990014648437523,0.0,0.0,0.0,11.779999732971191,0.0
31/12/1989 19:00,0.0,0.0,19.429986572265648,35.75,35.75,0.0,11.199999809265137,0.0
31/12/1989 20:00,0.0,0.0,19.860009765625023,82.05000305175781,261.25,795.3099975585938,10.630000114440918,0.0
31/12/1989 21:00,0.0,0.0,20.290002441406273,120.5,475.04998779296875,838.6699829101562,10.050000190734863,0.0
31/12/1989 22:00,0.0,0.0,20.719995117187523,138.3000030517578,683.8499755859375,899.8400268554688,9.479999542236328,0.0
31/12/1989 23:00,0.0,0.0,21.159997558593773,120.80000305175781,883.7999877929688,999.5,8.899999618530273,0.0
01/01/1990 00:00,0.0,0.0,21.589990234375023,112.8499984741211,965.4500122070312,966.5999755859375,8.329999923706055,0.0
01/01/1990 01:00,0.0,0.0,22.020013427734398,170.4499969482422,960.2000122070312,825.010009765625,7.75,0.0
01/01/1990 02:00,0.0,0.0,22.450006103515648,213.9499969482422,925.6500244140625,724.6900024414062,7.179999828338623,0.0
01/01/1990 03:00,0.0,0.0,22.879998779296898,120.75,864.3499755859375,778.7999877929688,6.610000133514404,0.0
01/01/1990 04:00,0.0,0.0,23.320001220703148,108.4000015258789,668.0,637.8599853515625,6.03000020980835,0.0
01/01/1990 05:00,0.0,0.0,23.749993896484398,136.35000610351562,539.0499877929688,533.469970703125,5.460000038146973,0.0
01/01/1990 06:00,0.0,0.0,24.179986572265648,109.0999984741211,374.25,445.0,4.880000114440918,0.0
01/01/1990 07:00,0.0,0.0,24.610009765625023,81.3499984741211,171.35000610351562,218.9499969482422,4.309999942779541,0.0
01/01/1990 08:00,0.0,0.0,22.860009765625023,30.450000762939453,39.20000076293945,41.060001373291016,4.480000019073486,0.0
01/01/1990 09:00,0.0,0.0,22.929986572265648,0.20000000298023224,0.20000000298023224,0.0,4.139999866485596,0.0
01/01/1990 10:00,0.0,0.0,22.070001220703148,0.0,0.0,0.0,3.5199999809265137,0.0
01/01/1990 11:00,0.0,0.0,21.899987792968773,0.0,0.0,0.0,3.240000009536743,0.0
01/01/1990 12:00,0.0,0.0,21.589990234375023,0.0,0.0,0.0,3.0999999046325684,0.0
01/01/1990 13:00,0.0,0.0,21.550012207031273,0.0,0.0,0.0,3.450000047683716,0.0
01/01/1990 14:00,0.0,0.0,21.399987792968773,0.0,0.0,0.0,3.7200000286102295,0.0
01/01/1990 15:00,0.0,0.0,21.040002441406273,0.0,0.0,0.0,3.859999895095825,0.0
01/01/1990 16:00,0.0,0.0,20.959985351562523,0.0,0.0,0.0,3.7200000286102295,0.0
01/01/1990 17:00,0.0,0.0,20.790002441406273,0.0,0.0,0.0,3.859999895095825,0.0
01/01/1990 18:00,0.0,0.0,20.580010986328148,0.0,0.0,0.0,4.0,0.0
01/01/1990 19:00,0.0,0.0,20.559991455078148,31.75,31.75,0.0,3.5899999141693115,0.0
01/01/1990 20:00,0.0,0.0,20.959985351562523,82.25,190.5500030517578,486.55999755859375,3.1700000762939453,0.0
01/01/1990 21:00,0.0,0.0,21.020013427734398,149.75,325.70001220703125,418.7099914550781,2.8299999237060547,0.0
01/01/1990 22:00,0.0,0.0,22.249993896484398,193.5500030517578,489.95001220703125,490.6700134277344,2.690000057220459,0.0
01/01/1990 23:00,0.0,0.0,22.570001220703148,295.29998779296875,655.4000244140625,472.82000732421875,2.140000104904175,0.0
02/01/1990 00:00,0.0,0.0,23.129998779296898,283.5,822.5,611.8200073242188,2.759999990463257,0.0
02/01/1990 01:00,0.0,0.0,23.749993896484398,281.1499938964844,881.2000122070312,627.280029296875,4.070000171661377,0.0
02/01/1990 02:00,0.0,0.0,23.950006103515648,174.14999389648438,983.5499877929688,824.4000244140625,5.309999942779541,0.0
02/01/1990 03:00,0.0,0.0,24.100000000000023,219.6999969482422,888.5499877929688,700.4400024414062,5.789999961853027,0.0
02/01/1990 04:00,0.0,0.0,24.159997558593773,143.64999389648438,762.6500244140625,705.239990234375,5.71999979019165,0.0
02/01/1990 05:00,0.0,0.0,23.890008544921898,175.4499969482422,470.8500061035156,391.0,5.929999828338623,0.0
02/01/1990 06:00,0.0,0.0,23.179986572265648,117.5999984741211,352.3999938964844,393.55999755859375,6.070000171661377,0.0
02/01/1990 07:00,0.0,0.0,22.929986572265648,84.05000305175781,192.4499969482422,263.2099914550781,5.929999828338623,0.0
02/01/1990 08:00,0.0,0.0,22.670007324218773,31.5,64.0999984741211,152.47999572753906,5.71999979019165,0.0
02/01/1990 09:00,0.0,0.0,22.830010986328148,0.3499999940395355,0.3499999940395355,0.0,5.03000020980835,0.0
02/01/1990 10:00,0.0,0.0,22.309991455078148,0.0,0.0,0.0,2.9000000953674316,0.0
02/01/1990 11:00,0.0,0.0,22.119989013671898,0.0,0.0,0.0,2.3399999141693115,0.0
02/01/1990 12:00,0.0,0.0,21.779992675781273,0.0,0.0,0.0,1.7899999618530273,0.0
02/01/1990 13:00,0.0,0.0,21.869989013671898,0.0,0.0,0.0,0.0,0.0
02/01/1990 14:00,0.0,0.0,21.689996337890648,0.0,0.0,0.0,2.9000000953674316,0.0
02/01/1990 15:00,0.0,0.0,20.980004882812523,0.0,0.0,0.0,5.789999961853027,0.0
02/01/1990 16:00,0.0,0.0,21.040002441406273,0.0,0.0,0.0,5.309999942779541,0.0
02/01/1990 17:00,0.0,0.0,20.219995117187523,0.0,0.0,0.0,6.409999847412109,0.0
02/01/1990 18:00,0.0,0.0,20.140008544921898,0.0,0.0,0.0,7.03000020980835,0.0
02/01/1990 19:00,0.0,0.0,20.689996337890648,31.75,31.75,0.0,7.590000152587891,0.0
02/01/1990 20:00,0.0,0.0,20.570001220703148,86.5999984741211,193.10000610351562,483.3699951171875,8.34000015258789,0.0
02/01/1990 21:00,0.0,0.0,20.420007324218773,150.6999969482422,346.25,467.6600036621094,8.970000267028809,0.0
02/01/1990 22:00,0.0,0.0,21.540002441406273,236.6999969482422,407.8999938964844,284.260009765625,9.3100004196167,0.0
02/01/1990 23:00,0.0,0.0,21.649987792968773,294.20001220703125,453.45001220703125,209.50999450683594,9.100000381469727,0.0
03/01/1990 00:00,0.0,0.0,21.379998779296898,413.8999938964844,568.8499755859375,176.11000061035156,8.829999923706055,0.0
03/01/1990 01:00,0.0,0.0,21.499993896484398,362.70001220703125,753.7999877929688,409.1499938964844,8.6899995803833,0.0
03/01/1990 02:00,0.0,0.0,21.589990234375023,279.3999938964844,695.4500122070312,423.8900146484375,8.279999732971191,0.0
03/01/1990 03:00,0.0,0.0,21.670007324218773,264.25,770.7999877929688,530.4400024414062,8.069999694824219,0.0
03/01/1990 04:00,0.0,0.0,21.779992675781273,169.1999969482422,668.0,568.0599975585938,8.34000015258789,0.0
03/01/1990 05:00,0.0,0.0,21.570001220703148,135.6999969482422,559.75,560.8499755859375,8.899999618530273,0.0
03/01/1990 06:00,0.0,0.0,21.309991455078148,120.4000015258789,255.25,225.75999450683594,8.6899995803833,0.0
03/01/1990 07:00,0.0,0.0,21.270013427734398,69.0,166.60000610351562,236.57000732421875,7.590000152587891,0.0
03/01/1990 08:00,0.0,0.0,21.029992675781273,27.299999237060547,51.95000076293945,114.94999694824219,6.760000228881836,0.0
03/01/1990 09:00,0.0,0.0,21.050012207031273,0.20000000298023224,0.20000000298023224,0.0,6.690000057220459,0.0
03/01/1990 10:00,0.0,0.0,20.790002441406273,0.0,0.0,0.0,5.519999980926514,0.0
03/01/1990 11:00,0.0,0.0,20.629998779296898,0.0,0.0,0.0,5.519999980926514,0.0
03/01/1990 12:00,0.0,0.0,20.429986572265648,0.0,0.0,0.0,5.449999809265137,0.0
03/01/1990 13:00,0.0,0.0,20.399987792968773,0.0,0.0,0.0,5.519999980926514,0.0
03/01/1990 14:00,0.0,0.0,20.309991455078148,0.0,0.0,0.0,5.590000152587891,0.0
